month,region,product,sales
Jul,West,Smartwatch,8390
Nov,West,Smartwatch,19283
Jul,South,Tablet,7426
Nov,West,Smartwatch,19390
Aug,West,Tablet,4919
May,South,Headphones,5704
Dec,North,Laptop,14094
Dec,North,Laptop,17499
Nov,East,Phone,7758
Mar,West,Headphones,13674
May,East,Smartwatch,18377
Feb,West,Laptop,11521
Feb,South,Laptop,4770
Feb,West,Headphones,15968
Aug,East,Tablet,18418
Jan,West,Phone,6248
Apr,South,Phone,10989
Feb,South,Headphones,2686
Oct,South,Headphones,17440
Aug,South,Headphones,4216
Aug,North,Smartwatch,12105
May,West,Phone,9797
Dec,North,Laptop,12414
Jan,North,Laptop,4524
Aug,West,Tablet,10222
Aug,East,Tablet,16449
May,South,Phone,9643
Dec,East,Laptop,24100
Feb,North,Smartwatch,11870
Nov,East,Laptop,24229
Mar,North,Smartwatch,3326
Jul,East,Laptop,3206
Oct,South,Headphones,22720
Jul,North,Headphones,15383
Apr,South,Smartwatch,10574
Jul,North,Tablet,4059
Jul,East,Tablet,13817
Oct,North,Laptop,17102
Jun,West,Headphones,18624
Dec,West,Tablet,19845
Dec,North,Laptop,6459
Sep,West,Smartwatch,13721
Jul,South,Tablet,6748
Jan,East,Phone,3296
Nov,South,Laptop,22690
Oct,West,Headphones,17578
Mar,North,Smartwatch,7350
Dec,South,Smartwatch,13282
Jan,North,Tablet,15254
Feb,North,Headphones,7472
Jun,West,Headphones,3522
Aug,East,Laptop,7758
Aug,North,Headphones,11315
Jun,South,Tablet,16251
Jan,North,Headphones,13130
Mar,West,Headphones,16380
Mar,South,Tablet,10771
Apr,West,Headphones,11680
Jan,West,Phone,12699
Jan,East,Headphones,10008
Sep,South,Phone,21610
Dec,West,Phone,18312
Apr,West,Laptop,5049
Jan,West,Headphones,9142
Sep,North,Tablet,14161
Mar,West,Laptop,14423
Apr,East,Laptop,8539
Jun,West,Headphones,20444
Sep,East,Laptop,18889
Feb,West,Phone,12723
Jun,East,Smartwatch,18691
Apr,North,Headphones,6987
Aug,West,Tablet,8121
Jan,West,Headphones,10931
Mar,South,Smartwatch,11166
Jun,West,Tablet,21569
May,South,Laptop,10523
Jan,North,Headphones,9896
Mar,West,Tablet,13596
Jan,West,Headphones,12344
May,South,Tablet,4263
Aug,North,Laptop,3466
May,East,Tablet,3883
Jan,West,Smartwatch,5377
Jul,North,Tablet,4816
Oct,East,Phone,10130
Aug,South,Phone,10977
Jun,East,Phone,21491
Oct,South,Phone,4540
Aug,North,Laptop,16309
Jul,North,Phone,19921
Mar,South,Laptop,12964
Dec,South,Laptop,22984
Apr,North,Headphones,16403
Feb,South,Tablet,16964
Jun,South,Phone,14197
Oct,South,Tablet,6589
May,North,Smartwatch,6353
Dec,North,Headphones,5814
Apr,South,Tablet,9966
Aug,West,Smartwatch,7838
Dec,South,Tablet,16966
Mar,West,Phone,16398
Oct,North,Phone,13569
Jul,East,Laptop,4931
May,North,Phone,20890
Feb,West,Laptop,13408
May,North,Smartwatch,13295
May,South,Smartwatch,11686
Dec,South,Tablet,24426
Jun,North,Smartwatch,13678
May,East,Laptop,17057
Apr,North,Headphones,14151
Oct,South,Smartwatch,8942
Jul,South,Phone,17069
May,West,Phone,10909
Oct,South,Tablet,6586
Jan,West,Smartwatch,17427
Apr,West,Phone,19347
Nov,West,Headphones,13274
Mar,West,Laptop,6650
Mar,East,Smartwatch,7967
Mar,North,Laptop,15655
Oct,East,Headphones,16363
Dec,East,Phone,7623
Jul,North,Phone,19281
Oct,South,Phone,14169
Jul,West,Phone,8745
Nov,North,Headphones,5032
May,North,Laptop,15389
May,North,Tablet,20000
Mar,West,Headphones,7669
Jan,East,Smartwatch,13538
Jan,East,Smartwatch,12166
Sep,East,Laptop,18242
Jan,South,Headphones,15471
Sep,South,Smartwatch,4067
Mar,North,Headphones,18790
Sep,East,Headphones,8096
Jul,West,Headphones,8486
May,North,Tablet,7865
Sep,West,Tablet,11716
May,East,Laptop,4265
May,South,Phone,14882
Oct,North,Tablet,10000
Nov,East,Phone,10592
Dec,North,Phone,8308
