month,region,product,sales
Jul,North,Laptop,19464
Apr,West,Tablet,8240
Nov,North,Tablet,18581
Aug,East,Laptop,9814
May,East,Laptop,12386
Jul,West,Tablet,9851
Oct,North,Tablet,3600
Mar,West,Laptop,8866
Jul,North,Laptop,5692
Nov,South,Tablet,2332
Nov,East,Tablet,15709
Aug,West,Tablet,16109
May,South,Laptop,16847
Apr,South,Tablet,16507
Aug,West,Phone,11963
Aug,West,Laptop,8106
Mar,South,Tablet,9333
Jun,North,Laptop,18058
May,South,Phone,8655
Feb,West,Laptop,7308
Aug,South,Tablet,3064
Dec,North,Phone,11080
Jun,East,Phone,13115
Feb,East,Tablet,8820
Dec,South,Tablet,10512
May,North,Tablet,5957
Jan,East,Laptop,9008
Dec,South,Laptop,18044
Oct,South,Laptop,19884
Jun,North,Tablet,16687
Dec,West,Tablet,19952
Sep,South,Laptop,11711
Jan,West,Phone,11597
Nov,West,Laptop,17254
Nov,East,Phone,18388
Oct,West,Tablet,16369
Dec,North,Tablet,9959
Dec,East,Laptop,19552
Mar,East,Laptop,8608
Dec,East,Tablet,2347
Jul,South,Laptop,14412
Apr,South,Tablet,12005
Sep,West,Tablet,8500
Mar,East,Phone,4574
May,East,Laptop,7272
Mar,North,Tablet,18532
Jul,West,Laptop,10694
May,North,Phone,19253
Sep,West,Phone,5521
Jul,West,Laptop,3300
Feb,South,Laptop,14225
Apr,South,Tablet,13481
Sep,North,Phone,14045
Dec,West,Phone,6385
Feb,East,Phone,16755
Oct,South,Laptop,4824
Sep,East,Tablet,7964
Oct,North,Laptop,19370
May,South,Laptop,5767
Feb,South,Laptop,15576
Apr,West,Tablet,14268
Dec,North,Laptop,9925
Dec,West,Phone,5107
Jul,South,Phone,10722
Dec,North,Phone,19307
Aug,South,Tablet,9883
Mar,North,Laptop,15453
Jan,South,Tablet,19197
Apr,East,Laptop,9618
Feb,East,Phone,2782
Aug,West,Laptop,16642
Apr,East,Laptop,9789
Feb,South,Laptop,16002
Jun,South,Tablet,13981
Jun,East,Laptop,7007
Oct,West,Laptop,9575
Apr,East,Laptop,18184
Jun,North,Tablet,13294
Feb,North,Tablet,7637
Oct,North,Tablet,14770
Dec,East,Laptop,16542
Feb,East,Phone,12908
Oct,East,Phone,18962
Apr,North,Phone,14699
Aug,West,Laptop,3865
Jul,South,Phone,3376
Dec,East,Phone,16255
Sep,West,Phone,15647
Aug,South,Laptop,7408
May,South,Phone,10163
Feb,South,Phone,8283
May,West,Laptop,3976
Aug,West,Tablet,8443
Oct,North,Phone,15324
Sep,West,Tablet,9595
Dec,West,Phone,6920
Dec,West,Laptop,19375
Dec,South,Tablet,7228
Sep,East,Tablet,13748
Jan,North,Tablet,17715
Sep,East,Tablet,16484
Jul,East,Phone,8450
Sep,West,Phone,19467
Aug,North,Tablet,2020
Jan,East,Phone,16717
Dec,East,Tablet,16580
Aug,North,Tablet,12117
Aug,West,Laptop,11664
Nov,East,Tablet,3099
Mar,South,Phone,4637
Jan,East,Tablet,10581
Aug,South,Laptop,9744
Mar,West,Phone,9457
Mar,East,Laptop,12807
Jan,North,Laptop,19738
Nov,North,Tablet,8402
May,East,Laptop,6521
Oct,West,Laptop,18389
Jul,West,Phone,10382
Oct,North,Laptop,14692
Sep,East,Tablet,6353
Dec,West,Tablet,17065
Jul,North,Tablet,16425
Sep,South,Laptop,15111
Aug,East,Phone,10031
Dec,South,Tablet,17510
Feb,South,Laptop,7083
Jan,West,Tablet,10816
Jul,West,Tablet,14317
Jul,West,Phone,4175
Aug,East,Tablet,13341
May,South,Phone,19579
Mar,East,Laptop,4069
Dec,West,Tablet,5358
Aug,South,Laptop,10808
Jun,East,Laptop,6244
Nov,East,Laptop,3811
Mar,North,Tablet,18555
Jan,East,Phone,19009
